Algorithm,Time (s),Path Length,Nodes Expanded,Success Rate (%)
A*,0.003841400146484375,55.0,PLACEHOLDER,100.0
BFS,0.09752516746520996,27.6,PLACEHOLDER,100.0
DFS,0.09854545593261718,159.2,PLACEHOLDER,100.0
Greedy,0.09359354972839355,27.6,PLACEHOLDER,100.0
IDA*,0.00999760627746582,27.6,PLACEHOLDER,100.0
UCS,0.003014945983886719,54.2,PLACEHOLDER,100.0
